"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"d18Osw[22]",-1.14792980230675,0.0995754061066832,-1.34623757279653,-1.21396868932445,-1.14712715964196,-1.08224693876595,-0.949165871216629,1.00117941606285,5600
"d18Osw[23]",-1.14786408836413,0.0995758360449517,-1.34713587300903,-1.21345624418987,-1.1472361076941,-1.08188752973366,-0.949260782169399,1.00117896004559,5600
"d18Osw[24]",-1.14793905688518,0.0995710150686323,-1.34597421285302,-1.21344981322571,-1.14733557141589,-1.08194075537948,-0.949342989061662,1.00117380126957,5600
"d18Osw[25]",-1.14791958151531,0.0994896149938872,-1.3464442207159,-1.21356160777007,-1.14739200088695,-1.08241487678409,-0.949687942823668,1.0011575694289,5700
"d18Osw[26]",-1.14789727549777,0.0995477048078272,-1.3465208079493,-1.21372951682799,-1.14720225743026,-1.08171731048243,-0.948513555060248,1.00118123753952,5600
"d18Osw[27]",-1.14790751122468,0.0995279922648893,-1.34588829376337,-1.2135853540201,-1.14755089438124,-1.08191620288626,-0.949866527118922,1.00115780954976,5700
"d18Osw[28]",-1.14789669836551,0.0995546218092317,-1.34623353798206,-1.21323374570007,-1.1475232354184,-1.08173367230775,-0.948922596840266,1.00118030668345,5600
"d18Osw.sc[1]",-0.651251406958365,0.221258492171126,-1.08027139876695,-0.798967153401311,-0.649476723183902,-0.500859839881133,-0.216032933593194,1.00565689656048,940
"d18Osw.sc[2]",-0.396454821869225,0.236360967979015,-0.859999601180199,-0.554152441125988,-0.398533117167895,-0.238650151148712,0.0682884683131491,1.00409921126996,1300
"d18Osw.sc[3]",-0.641032488543861,0.239181150884741,-1.11450199498554,-0.800954160342791,-0.638073790894247,-0.482697749534565,-0.163383464223615,1.00515048303734,1000
"d18Osw.sc[4]",-0.774557950980193,0.237561637814008,-1.24191332122656,-0.934971113740391,-0.773939189380369,-0.617455699871338,-0.308929292256491,1.00521347660846,1000
"d18Osw.sc[5]",-0.728008023827756,0.247225335411031,-1.2159433154616,-0.895130914048649,-0.724658331901954,-0.562306576252762,-0.240186665528424,1.00447124712049,1200
"d18Osw.sc[6]",-0.413385210848203,0.23464014678019,-0.874695109053997,-0.569727819880303,-0.415886132104651,-0.252665733104083,0.0455345128363776,1.00488473956154,1100
"d18Osw.sc[7]",-0.805298457152896,0.233063086698205,-1.26226044514643,-0.963347282962306,-0.804320760020155,-0.646911306034649,-0.34485052218194,1.00544732080233,980
"d18Osw.sc[8]",-0.571332570817712,0.248097471945046,-1.05671838155206,-0.739169456751047,-0.57265261950421,-0.40300619658664,-0.0820922302218525,1.0044390955678,1200
"d18Osw.sc[9]",-0.395097931530723,0.249339123265885,-0.876331964510751,-0.564536211071923,-0.393007343278891,-0.227079334587688,0.0855619805722407,1.00414215837618,1300
"d18Osw.sc[10]",-0.688268569465373,0.257313995109194,-1.19917820804228,-0.860647524561043,-0.686848306315504,-0.517163947524546,-0.185436549824549,1.00489080530704,1100
"d18Osw.sc[11]",-1.12037826403534,0.262495350683305,-1.64768047027178,-1.29425235691453,-1.11727180601702,-0.94249103494685,-0.615174835749815,1.00373606074403,1500
"d18Osw.sc[12]",-1.39712550907801,0.268349631537942,-1.93038601881682,-1.57365827526315,-1.39942385580705,-1.21664976620112,-0.863103231023807,1.00365597361019,1500
"d18Osw.sc[13]",-0.975284914972205,0.328472046434979,-1.61204515620418,-1.20293981948359,-0.977484304804683,-0.758871123331586,-0.309657124994335,1.00391586057145,1400
"d18Osw.sc[14]",-0.748604889059717,0.26135838511867,-1.25755953104317,-0.927688315504786,-0.744935780325672,-0.567210309794598,-0.243005380546493,1.00421953841678,1300
"d18Osw.sc[15]",-0.879022567671813,0.259458032247147,-1.39300279975153,-1.04909371472137,-0.88255795785044,-0.70191511794919,-0.357262817202495,1.00421677437948,1300
"d18Osw.sc[16]",-1.12246266306688,0.257923201697312,-1.63357125974168,-1.2954098348313,-1.12279466341557,-0.946593851269591,-0.618537670071245,1.00372078113106,1500
"d18Osw.sc[17]",-1.56423128625446,0.280347306621467,-2.11366039420156,-1.75423125678457,-1.56607518331188,-1.37202361781871,-1.01734854857033,1.00300619580708,1800
"d18Osw.sc[18]",-1.48742777729356,0.269449059495111,-2.01401149881994,-1.66641956509024,-1.48941837748675,-1.30671250028478,-0.954189055937153,1.00422688002205,1300
"d18Osw.sc[19]",-1.76513234929462,0.266851807561117,-2.28743860155338,-1.94401705142696,-1.76584541093568,-1.58528866086521,-1.24887972312256,1.00409501151498,1300
"d18Osw.sc[20]",-1.6386359049205,0.262806305637376,-2.1580775145655,-1.81367645036842,-1.63620328107249,-1.46065275722509,-1.11982808174136,1.00393907261962,1400
"d18Osw.sc[21]",-1.76846070764933,0.261477538648831,-2.2859193952776,-1.93833048975368,-1.77021125543217,-1.59228806831632,-1.26512450480141,1.00416199963472,1300
"d18Osw.sc[22]",-1.482641269002,0.262455847076211,-2.00246554896806,-1.66040876970867,-1.48123834326035,-1.30043126110731,-0.971334019022665,1.00429043778376,1300
"d18Osw.sc[23]",-1.32208581549807,0.254034577559702,-1.81742675647544,-1.49067571603626,-1.32165490339293,-1.15070136996932,-0.818320360422882,1.00384341010975,1400
"d18Osw.sc[24]",-1.36951413949913,0.258226192021081,-1.87449980321111,-1.54575643786308,-1.3671484617814,-1.19535523814971,-0.861526304112051,1.00363342929463,1500
"d18Osw.sc[25]",-0.766813530019437,0.24501184642699,-1.24603089241237,-0.933957730492962,-0.763670208586419,-0.604801842199362,-0.287969636611466,1.0044098546122,1200
"d18Osw.sc[26]",-1.11063592460101,0.244481820985795,-1.60032911523716,-1.27246117327119,-1.11029393669642,-0.94510585319406,-0.638193682221278,1.00502250687585,1100
"d18Osw.sc[27]",-0.733452087052625,0.241348327016878,-1.20975142515797,-0.892920003122944,-0.736941196937302,-0.569530597252269,-0.268881568952693,1.00378281573698,1400
"d18Osw.sc[28]",-0.982821458816282,0.245584474180352,-1.47182477789143,-1.15064243861972,-0.98175053905571,-0.81594681141433,-0.501054597165112,1.00444538985637,1200
"deviance",-119.250203356114,10.7099774098098,-138.37120887404,-126.887125104376,-119.884974380742,-112.347594973329,-97.2321161125514,1.00052350898849,6300
"indexop",0.300921166566171,0.0229642906812746,0.255029032854457,0.285832424169756,0.30122832057161,0.316530390284694,0.34465112897597,1.00205921534754,2800
"sal[1]",35.8759311067665,0.380701221269136,35.1417638195542,35.6162510405294,35.8789684582809,36.1397773068648,36.605451911246,1.00443647797253,1200
"sal[2]",36.3250457746727,0.407993657976716,35.5140931268349,36.0434671808096,36.324102669358,36.6009375573115,37.1143650891409,1.00302930537223,1800
"sal[3]",35.8938501377359,0.416648401190325,35.0968833321338,35.610122709207,35.8937719428378,36.1742959197356,36.7125797757372,1.00401222587323,1300
"sal[4]",35.6581110008678,0.41444897708262,34.8371656958494,35.3821185946188,35.6632685730461,35.9328873594358,36.4622412319871,1.00410256055595,1300
"sal[5]",35.7402139665298,0.428954622873592,34.9102563437437,35.4475257206333,35.7442357859919,36.0274103830148,36.5881375098883,1.00358874886499,1500
"sal[6]",36.2956000393475,0.409538992372353,35.4980930714334,36.0185293067379,36.3007199868107,36.5723672233486,37.0821733668685,1.00368999653912,1500
"sal[7]",35.6041854255302,0.406204992580204,34.8095035097897,35.3289029358324,35.6065792707702,35.8841223711298,36.3862338758195,1.00451277602573,1200
"sal[8]",36.0167333087426,0.431923929279278,35.1703742093328,35.7244838098539,36.0249747157677,36.3074300865284,36.8481030297401,1.00342037908087,1600
"sal[9]",36.3279976429289,0.435688808506613,35.4874516284395,36.0320932148674,36.3291959513671,36.6323927553968,37.1647202036405,1.0030668084164,1800
"sal[10]",35.8100901821182,0.446142602989736,34.9348681797824,35.5104229662987,35.8123162151687,36.1140906048675,36.6779363743981,1.00384148707435,1400
"sal[11]",35.0468076445528,0.456832305328352,34.1240823962209,34.7399825361603,35.0534473690764,35.3579910015216,35.9269437116767,1.00304224474716,1800
"sal[12]",34.5585092606937,0.468148816028105,33.6399645945949,34.2462040498908,34.5538098515964,34.8719249997377,35.4766702419669,1.00305912885207,1800
"sal[13]",35.30333147794,0.574748369205634,34.1866234025918,34.9120409159031,35.3019646389157,35.6805258537847,36.4558134098808,1.00308413361415,1800
"sal[14]",35.7035634860344,0.45262798768491,34.8033209926099,35.396181171163,35.7045122011616,36.0166807051698,36.5779336492708,1.00338407971565,1600
"sal[15]",35.4733648514337,0.45190442962961,34.591930727876,35.1702976580115,35.4756459387647,35.778898875051,36.3509453583005,1.00327926796872,1700
"sal[16]",35.0433803059371,0.450012208424879,34.1597954294544,34.7356326418683,35.0485221859263,35.3504726660665,35.899610192955,1.00296857933095,1900
"sal[17]",34.2634511479115,0.489824293196901,33.3017866742475,33.9340803688113,34.2591191718716,34.5947018149071,35.2128838661619,1.00241535092368,2400
"sal[18]",34.3983091724284,0.471394512610715,33.4676045951906,34.0875066229648,34.4025721279935,34.7198773281341,35.3169938555156,1.00355286084495,1500
"sal[19]",33.9081045494302,0.471550486777413,32.9824084655865,33.5924591695562,33.9108655440871,34.2249426822005,34.8200424117614,1.00354276846198,1500
"sal[20]",34.1311311336374,0.463471189364323,33.2057053627828,33.8146083729153,34.1287664921513,34.4476354457315,35.0208254583028,1.00333937111952,1600
"sal[21]",33.9021437795591,0.462843748745713,32.9818759982396,33.5892842909532,33.9056090558803,34.2163104333042,34.7840627847013,1.00347189284786,1600
"sal[22]",34.4069008395778,0.462134544048899,33.4933465467255,34.0948893042306,34.4118472793979,34.7221446512804,35.2833463003034,1.00341594612682,1600
"sal[23]",34.6902391501031,0.44461804100463,33.8260937582257,34.3923370762498,34.6948150971453,34.9891928643321,35.5575020949236,1.00315063880367,1800
"sal[24]",34.6071414866222,0.451598793944293,33.7375310892979,34.3001251747283,34.6105565832968,34.9120439019302,35.4738093366437,1.00295955738586,1900
"sal[25]",35.6713461313062,0.427453160567948,34.8274938288603,35.3880176053892,35.6728697820864,35.9584400900543,36.4842742041976,1.00334165612082,1600
"sal[26]",35.0642787520995,0.428237981078624,34.2137213495577,34.7735632048065,35.0657067558695,35.3601263113555,35.894271637767,1.0040027152136,1400
"sal[27]",35.7305120604763,0.4212819146894,34.9024938296504,35.4378761498899,35.7311066992069,36.0248743103129,36.5322157841008,1.00290831476549,1900
"sal[28]",35.289913331962,0.429238012420377,34.444820814754,34.9997136448357,35.2888260517034,35.5815417217789,36.1047885518881,1.00359850740161,1500
"tempC[1]",33.4639934712175,1.12889392909986,31.1343623978237,32.7236019111264,33.4710842041946,34.2244533785205,35.6135022388624,1.00843438643653,620
"tempC[2]",33.398546125465,1.13355139317833,31.0809299866306,32.6490121345562,33.4111435836522,34.1601814067626,35.5942423789393,1.00848782325475,620
"tempC[3]",34.1668586124712,1.15013778800517,31.8109203529029,33.4027378782249,34.1738290278682,34.9398697402625,36.4023843455493,1.00815498334839,640
"tempC[4]",32.38307039744,1.11941943885286,30.0921930101341,31.6513880583724,32.3860869642726,33.1278068718558,34.5356402430119,1.00809237226876,650
"tempC[5]",33.4449160795896,1.13985375973404,31.1349686094139,32.6995120577009,33.4572179909593,34.2020067126348,35.630391205594,1.0083408485594,630
"tempC[6]",31.9500545432748,1.10477368943398,29.6674733063208,31.2226078631087,31.9472692974181,32.6987231442601,34.0543033907431,1.00810659793752,650
"tempC[7]",31.5748577711866,1.10364007010077,29.3096452772833,30.8541806219647,31.5852010437227,32.314994218236,33.6969137477532,1.00806903827336,650
"tempC[8]",34.7336535814767,1.16678284601055,32.3363725169652,33.9695657866997,34.7400095047319,35.5208883110521,37.0088483988861,1.00860187556538,610
"tempC[9]",35.9965218760373,1.19505444394703,33.5520363864021,35.2178484089623,36.0056616610543,36.7923788477754,38.2947825321856,1.00878493154784,590
"tempC[10]",36.6551022621497,1.20935873531204,34.1844193893885,35.8701175720146,36.6663831297417,37.4685477903897,38.9973660702217,1.00866162620091,600
"tempC[11]",36.3751648490765,1.20982089153876,33.8850126203955,35.5994933925327,36.3808287946589,37.2043560256224,38.7275186365373,1.00882554187381,590
"tempC[12]",37.296263780746,1.23554358567122,34.7795722066737,36.4991445068568,37.3120148434618,38.1391471250873,39.6659750294274,1.00893504523422,580
"tempC[13]",35.8268945741142,1.6823286473161,32.5739183646496,34.6897064333447,35.8142968341011,36.9605985682416,39.2424878713457,1.00607791549804,870
"tempC[14]",36.9165878076106,1.21863875748726,34.4119829727977,36.1407433316057,36.9313050931742,37.7389142565163,39.2492663337655,1.00900077164018,580
"tempC[15]",35.9830912302658,1.20158343675584,33.5345623273677,35.2020365574101,35.9907268153999,36.7996447899893,38.288889796432,1.00874490062747,600
"tempC[16]",35.3338121156539,1.18765932767338,32.90040624285,34.5589724512789,35.3432332774433,36.1357736521786,37.6135137343262,1.00885723673768,590
"tempC[17]",37.2016391018714,1.39172468156978,34.4524333555602,36.2647890475622,37.1861078330041,38.1426839770221,39.8877202367313,1.00501074730017,1100
"tempC[18]",36.5436796814178,1.21610506603116,34.0341921543817,35.7448302423471,36.5519108980737,37.3530521060103,38.8667129520255,1.00911689073102,570
"tempC[19]",35.1763686639307,1.19146882045105,32.7452550255041,34.3964603261757,35.181643395945,35.9704437755007,37.4480562158988,1.00811348122563,650
"tempC[20]",33.6099010601989,1.16015751840225,31.2255069625776,32.8664260637063,33.6171014602446,34.3963361408314,35.84627421291,1.00838629400463,620
"tempC[21]",34.0159267207819,1.16528618893574,31.6183596613406,33.2576496932689,34.0194970061636,34.8021772408212,36.2618474293071,1.00813473645008,640
"tempC[22]",34.8218112688976,1.17697434853531,32.4323678661062,34.0670566215824,34.8312289220787,35.6175681949237,37.0606389219224,1.00898689181694,580
"tempC[23]",32.8272781165262,1.13702238238681,30.5048153221638,32.0897640035079,32.8318899295732,33.5933037348127,35.0191367509662,1.00833112423905,630
"tempC[24]",34.4351614419417,1.17067283041067,32.0241207494609,33.6794255926728,34.4396964711913,35.2313552891247,36.6545451223654,1.00875544484422,600
"tempC[25]",32.631604944039,1.12072570763328,30.3299526300971,31.8978013823283,32.6463571291652,33.3836537663137,34.7972229986508,1.00827301588274,630
"tempC[26]",32.0131384060509,1.11867004979393,29.7359925743726,31.2720081671988,32.0132340060819,32.7592389279421,34.1809819767143,1.00791895625627,660
"tempC[27]",31.965269431392,1.10858121569835,29.6952648980547,31.2429763361664,31.97544628252,32.7076974543454,34.1021588608644,1.0080628641577,650
"tempC[28]",32.2139596146195,1.11761370047079,29.9389916193416,31.4758906268986,32.2213768043612,32.9700567146219,34.3644364908207,1.0085332406906,610
"xca[1]",20.9527839394729,0.496744115686234,19.9578808137963,20.6235546975434,20.9558995463087,21.2850937061471,21.9024523124866,1.00103504356141,6300
"xca[2]",20.9529060845658,0.496837494356295,19.9558719572282,20.6293470550837,20.957691876367,21.2888343586543,21.898531874252,1.0010470497034,6300
"xca[3]",20.9527269521237,0.49721931410097,19.9512344511397,20.6253018055402,20.9593025665203,21.2830530334834,21.9013529462446,1.00105866153767,6300
"xca[4]",20.9526857777161,0.497255967336136,19.9602943861538,20.6207529649092,20.9575741431776,21.28676772684,21.9109390335255,1.001054744982,6300
"xca[5]",20.9532191057582,0.498256708608469,19.9600062792616,20.6243591462165,20.9589405076923,21.2845820947776,21.9169515526528,1.00103907558602,6300
"xca[6]",20.9536162458812,0.498143566301146,19.9538830165408,20.6222574474807,20.9575082151809,21.290301004206,21.9157621110069,1.00101101419074,6300
"xca[7]",20.9532323529448,0.498014725042163,19.9504281472268,20.6219067758607,20.957441617967,21.2908785889029,21.9087475538029,1.00101901129123,6300
"xca[8]",20.9538510002479,0.498666905208413,19.9466136635824,20.6234367984126,20.9567231149846,21.2905668986444,21.9077156214534,1.00105490681009,6300
