age,mean,sd,2.50%,25%,50%,75%,97.50%
57876,844.5220312,116.0544332,635.6545044,763.2396289,837.9474306,917.8527866,1089.633389
57862,838.0099802,111.5151407,638.1993795,760.787262,831.6158769,907.8493144,1076.39287
57851,829.0582315,105.4335475,640.9414952,756.0538987,822.0972785,896.5469713,1051.735093
57848,827.2384773,103.5605444,640.1618565,754.4310815,821.3389314,893.9473703,1045.4349
57834,815.4624895,92.85001424,648.8147563,750.4293313,810.8603164,875.1893187,1012.337713
57820,805.905071,80.53915233,659.3489081,749.3546643,803.6326908,857.8920889,974.374069
57806,797.2622133,60.5899125,684.5925623,755.434592,795.5282654,837.0979395,922.1858389
57792,799.8979571,78.24842745,655.6764723,745.6727986,796.0913882,851.141282,961.2661435
57778,808.6831641,91.64144076,641.853465,744.3051832,803.6101341,867.0668019,1002.515733
57764,819.0129575,103.0912526,632.3930867,745.9266192,814.0085367,885.6665366,1034.884894
57750,815.9370476,108.8837469,620.8236074,739.1986639,808.6718536,886.3010633,1045.101104
57736,814.7935868,113.5752765,614.4328928,735.0244818,806.509892,888.2356495,1054.769534
57722,818.0448531,116.669754,613.3119871,736.226313,809.6026025,890.4069952,1070.992601
57708,820.8687585,117.6636054,609.5431089,737.6941144,813.5979765,896.1010232,1069.778421
57700,828.3434723,118.1553395,623.3977211,745.5923187,818.8046884,902.6294799,1083.324538
57687,834.0360209,117.1865814,627.0857436,751.7248671,826.1579511,907.6483152,1086.912759
57673,841.5676621,114.0116123,639.2683306,761.7868182,833.6180934,914.3964942,1082.368815
57659,850.4395256,110.1669055,656.0074684,772.5433595,843.759539,919.8522066,1082.568182
57645,856.9855598,102.1324107,674.1870463,785.5298,852.0134977,921.2670573,1070.300335
57632,861.1862883,92.05438108,692.5348356,797.6539452,857.0774737,919.8350464,1052.989559
57619,864.9232711,77.23134114,724.8008344,811.6545825,860.6066085,915.0902743,1023.88312
57606,864.5818983,90.17844566,698.8922767,802.1981028,860.786065,923.1261243,1050.320515
57593,859.5350527,100.2655057,680.2063564,789.2123902,853.686073,924.1467671,1072.750832
57580,852.5021952,104.3712871,666.79457,779.7672279,846.6188511,917.8941755,1071.207752
57566,838.6831822,105.3902202,650.1788387,765.5767929,832.294326,905.8660905,1062.638204
57553,831.8594643,103.4356022,646.5626512,759.5016212,825.9794942,897.3653673,1050.609176
57540,820.2037115,99.38664917,642.6420831,750.5522179,814.9831055,882.8693426,1030.903708
57527,805.597554,91.9509813,640.9761272,741.6630553,800.4734054,864.3886976,997.4769622
57514,794.4557489,81.91691108,645.8303941,737.1239463,790.6000258,846.9404895,966.9563905
57500,781.1673391,66.40481358,658.7387236,735.4007779,778.3794682,824.9507704,916.4192669
57487,804.3835334,82.43900038,654.4907002,747.0719319,799.8732253,857.4798302,975.8348913
57478,815.3599208,92.10365218,652.4107462,750.2448364,809.8903263,873.8671524,1009.854662
57474,821.0996272,95.16650847,649.7436637,753.5657425,816.5628183,881.7795481,1019.977347
57461,839.9927821,104.9030938,651.7277617,766.2341878,833.4272957,907.0257037,1060.364994
57448,851.2558507,112.0006861,651.5459694,772.327294,843.8106055,923.2150208,1090.563452
57435,862.1848359,116.2795667,653.7105268,779.1265141,855.1121921,935.8884835,1110.025158
57421,862.2028844,117.6958259,655.342133,778.6553245,853.4797147,935.9470752,1111.852393
57408,867.4106387,117.6785364,657.2609077,785.0101245,859.4948166,941.3192896,1117.890499
57395,877.6863188,114.9823259,672.5046321,797.352905,871.4838104,950.9461464,1123.632524
57382,870.5472913,109.3308275,674.625271,794.701474,863.3449829,940.4863423,1103.987196
57371,871.2565773,103.3294345,684.7900502,799.9140346,864.6786428,936.7843768,1094.363515
57369,870.5946823,102.2074794,688.9928162,798.3777665,864.4311409,936.4370334,1086.225172
57354,878.1027639,89.51605417,713.812975,816.2849574,874.1408128,934.4825314,1067.996745
57338,879.8776743,68.0434824,754.899587,833.587051,876.3519781,923.7758453,1021.527049
57322,886.526777,88.60738843,726.9276504,825.0494792,881.9407048,944.6193416,1070.390924
57306,883.2671221,99.49927353,703.7230298,813.4162381,878.9143074,947.4275415,1094.095119
57290,877.5104644,105.944526,687.8290654,802.5968798,872.7462057,944.7048554,1099.943064
57275,878.1031251,106.0999244,686.6269364,804.6559538,872.5252127,945.1784684,1104.273797
57259,860.4729293,99.19785399,681.9340189,791.0651509,856.0951365,923.5634831,1070.364089
57243,844.3402433,88.02004332,683.7884051,782.6357034,840.114663,901.167496,1028.643277
57226,827.144214,66.99998648,703.3198816,780.0533425,825.0708239,871.0420778,966.5897571
57214,840.4911971,84.5275281,689.8164518,781.0361111,835.7324157,894.2824829,1022.216927
57209,844.7257896,89.73883851,681.9362636,782.0771547,839.9869841,903.1944603,1031.564126
57192,861.287789,104.1123867,676.9265144,787.3669665,854.0281736,927.3220362,1086.201353
57175,871.8345258,112.594672,672.5776839,792.4220106,864.9066645,942.4314872,1110.571876
57158,875.2761846,116.325036,671.5056224,793.5170451,866.9547009,948.1160459,1123.618288
57141,881.344923,117.8113566,673.8865289,798.1992543,873.3849815,955.3898425,1132.524617
57125,887.0214271,113.9831685,685.2142363,807.5183805,879.2756495,960.2534456,1133.152741
57108,877.4027957,106.0481291,686.5079148,803.3723411,871.1228262,944.253278,1104.300442
57091,870.6133521,91.69542284,703.2402842,807.6672436,865.8631906,928.6622366,1063.85047
57074,858.1959333,70.11688624,728.2581515,808.7413876,855.6697117,904.234324,1001.858492
57057,863.3821992,92.81941151,697.8100225,797.6123128,859.0825827,922.5352841,1059.291999
56953,838.0020427,143.9757525,587.3183355,736.6701368,827.9341853,925.0198573,1153.324772
56941,833.8320078,145.2981117,581.3951028,731.4926061,823.9907007,924.0014772,1148.810156
56929,834.8406946,146.4458496,581.935148,730.8794725,824.7910558,924.2180314,1157.273064
56917,828.6117108,146.6448113,574.1327743,723.9963446,818.4822877,919.8370823,1150.917396
56905,819.9969024,145.8217652,564.5276857,717.4173873,809.1694409,910.1416241,1134.473349
56893,814.259465,145.316618,563.8169914,710.9732625,802.5900342,905.1271202,1126.932214
56880,801.3244671,143.4788517,553.4699513,700.2244129,789.2908068,892.5392401,1112.574962
56868,792.9340628,142.0063161,546.4743119,692.6489462,782.9594467,882.0387709,1099.942923
56856,784.0425704,140.8958313,538.7121084,683.2728209,773.2419627,873.3662106,1086.731707
56821,760.4916457,134.4454412,529.721909,665.0611623,749.9205028,844.7984904,1048.681021
56786,733.4162527,122.0822327,521.7046836,647.4468961,724.7916459,810.220652,994.8193742
56752,707.8695977,107.1826732,519.671682,632.4123729,701.0438281,775.8498266,932.3825694
56718,679.8726085,84.45330212,526.884794,620.7308352,674.6818854,733.2352462,859.1082962
56686,655.6738244,52.52728222,560.0610676,619.4914973,653.6358404,689.5141226,765.1980812
56621,729.9093092,110.9213997,533.1581688,652.9130003,722.4996421,799.3034103,967.6185442
56601,756.4004677,124.027492,539.4320619,669.7906376,747.4074896,833.2410715,1026.181771
56588,768.7673312,130.6933282,541.1069765,677.7345328,759.0568508,849.820008,1052.69039
56555,810.8179007,148.110718,553.9956433,706.8700465,800.0568567,902.0174087,1134.437764
56360,1043.39085,215.9881518,684.676953,888.7403205,1023.320294,1171.673184,1532.931227
56262,1160.61,215.5688502,792.9383547,1009.777975,1140.784478,1294.694419,1642.264904
56197,1247.57199,194.0341737,908.7414587,1110.125873,1234.969677,1370.034876,1668.730775
