age (ka; for time dependent parameters) ,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
57903,-1.175765593,0.097465892,-1.367072467,-1.241873553,-1.175783792,-1.109872716,-0.984270481,1.001926331,4600
57876,-1.175753981,0.097451593,-1.366803687,-1.241738767,-1.175789174,-1.109948698,-0.984696769,1.001932114,4600
57862,-1.175748491,0.097441915,-1.366729129,-1.241994386,-1.175796308,-1.10981273,-0.984370413,1.001931214,4600
57851,-1.17573352,0.097443612,-1.366559545,-1.24174158,-1.175626293,-1.10984664,-0.984246809,1.001930488,4600
57848,-1.175728329,0.097448687,-1.366409127,-1.241803944,-1.175713921,-1.109866828,-0.984145887,1.001934267,4500
57834,-1.175740264,0.097473711,-1.366535242,-1.241795175,-1.175720722,-1.109783502,-0.983940141,1.00192331,4600
57820,-1.175740918,0.09745182,-1.367081943,-1.241747397,-1.17559667,-1.109824419,-0.983919706,1.001927274,4600
57806,-1.175760933,0.09744972,-1.366329076,-1.241902493,-1.175530496,-1.109990164,-0.984320072,1.001937754,4500
57792,-1.1757316,0.0974582,-1.366401586,-1.242089535,-1.175870448,-1.109796653,-0.984045838,1.001930269,4600
57778,-1.175758499,0.097449808,-1.367323713,-1.242178211,-1.175917771,-1.10980521,-0.984586816,1.001928093,4600
57764,-1.175785973,0.097460209,-1.366838614,-1.241937872,-1.175728982,-1.109818275,-0.983623187,1.001931215,4600
57750,-1.175741106,0.097438398,-1.366697896,-1.241820506,-1.175663838,-1.109690145,-0.984224948,1.001922952,4600
57736,-1.175741384,0.09746797,-1.366849091,-1.241876651,-1.175690559,-1.109688878,-0.984023538,1.0019343,4500
57722,-1.175745648,0.09745033,-1.366845939,-1.241866545,-1.175629342,-1.109766145,-0.983900641,1.001921677,4600
57708,-1.1757298,0.097456955,-1.366879545,-1.241852119,-1.175668916,-1.109739141,-0.984175757,1.001926732,4600
57700,-1.175737657,0.097463594,-1.3663542,-1.241903708,-1.175602842,-1.109677797,-0.984017499,1.001933665,4500
57687,-1.175740453,0.097470502,-1.366969451,-1.24166882,-1.175839549,-1.109716455,-0.984135015,1.001922332,4600
57673,-1.17574877,0.09746886,-1.366161263,-1.241766612,-1.175714521,-1.109929752,-0.984354192,1.001915491,4600
57659,-1.175761396,0.09748241,-1.366342366,-1.241779614,-1.175789504,-1.109878785,-0.984390951,1.001916095,4600
57645,-1.175734851,0.097478525,-1.366860521,-1.241907676,-1.175587623,-1.10988234,-0.983982962,1.00191716,4600
57632,-1.175759222,0.097460668,-1.366383899,-1.241984531,-1.175595846,-1.110000128,-0.983845407,1.001912392,4600
57619,-1.175771808,0.097449955,-1.367021772,-1.241912469,-1.175756658,-1.109922007,-0.984238946,1.001921443,4600
57606,-1.175749734,0.097436881,-1.366964066,-1.241866474,-1.175667986,-1.109989171,-0.984166719,1.001926542,4600
57593,-1.17575193,0.097435005,-1.366572867,-1.241878287,-1.175493951,-1.109852277,-0.984336354,1.001924099,4600
57580,-1.175761525,0.09744192,-1.366929714,-1.241858379,-1.175558928,-1.110045934,-0.984234222,1.001931769,4600
57566,-1.17576249,0.097447571,-1.366029146,-1.241850432,-1.175756796,-1.109774003,-0.984145611,1.001935858,4500
57553,-1.175751341,0.097463875,-1.366680828,-1.241895227,-1.175643036,-1.109681128,-0.983875094,1.001930915,4600
57540,-1.175749472,0.097452466,-1.366938717,-1.241889526,-1.175585836,-1.109903423,-0.984094241,1.001919198,4600
57527,-1.175740602,0.097463178,-1.367001258,-1.241995594,-1.175604909,-1.109709911,-0.984318705,1.001934812,4500
57514,-1.175745122,0.097459811,-1.366566122,-1.24193232,-1.175712321,-1.10978934,-0.98377241,1.001926765,4600
57500,-1.175745192,0.09744977,-1.366822042,-1.241891967,-1.175529648,-1.109783933,-0.98410867,1.001932012,4600
57487,-1.175770047,0.097440837,-1.36654044,-1.241831662,-1.175794836,-1.109768281,-0.98388658,1.001928768,4600
57478,-1.17576919,0.097455316,-1.36644568,-1.241707298,-1.175737041,-1.109779256,-0.984023884,1.001926313,4600
57474,-1.17576276,0.097459126,-1.366422493,-1.241780042,-1.175651903,-1.109811992,-0.984115296,1.001924946,4600
57461,-1.175767999,0.097460074,-1.366523243,-1.241881018,-1.175770079,-1.109852074,-0.983952915,1.001919842,4600
57448,-1.175755263,0.097465143,-1.366248333,-1.241888772,-1.175619138,-1.109668083,-0.984021382,1.001930558,4600
57435,-1.175765566,0.097456922,-1.36634102,-1.241826046,-1.17573202,-1.109797218,-0.984104259,1.001928496,4600
57421,-1.175752339,0.097450167,-1.366995444,-1.241792458,-1.175810705,-1.109754515,-0.984035922,1.001938743,4500
57408,-1.175758588,0.097448067,-1.366320357,-1.24193081,-1.17547287,-1.10985289,-0.983695619,1.00192835,4600
57395,-1.175784734,0.097449626,-1.366414058,-1.241949494,-1.175806102,-1.109979786,-0.984077745,1.001930031,4600
57382,-1.175721193,0.097442206,-1.36702667,-1.241934449,-1.175610682,-1.109721755,-0.983827221,1.001924116,4600
57371,-1.175753723,0.097458948,-1.366544816,-1.241608509,-1.175905953,-1.109923655,-0.983697,1.001940901,4500
57369,-1.175742909,0.097471338,-1.366827796,-1.241684248,-1.175637855,-1.109923963,-0.98398547,1.001939444,4500
57354,-1.17577541,0.097462078,-1.366976286,-1.241838687,-1.175514215,-1.109703689,-0.984332129,1.001923337,4600
57338,-1.175784412,0.097470957,-1.367045911,-1.242194253,-1.17555081,-1.109873004,-0.984387567,1.001925984,4600
57322,-1.17576678,0.097455835,-1.366153026,-1.241954292,-1.175765111,-1.109888318,-0.984136352,1.001923942,4600
57306,-1.175767612,0.097478851,-1.366596427,-1.241763359,-1.175739638,-1.109672603,-0.984044474,1.001921236,4600
57290,-1.175750255,0.097465486,-1.366895342,-1.241828226,-1.175673547,-1.109841701,-0.983803269,1.001923341,4600
57275,-1.175770185,0.097481302,-1.366864073,-1.241807411,-1.175638208,-1.1099538,-0.983519653,1.001933363,4500
57259,-1.175758573,0.09746409,-1.36644989,-1.241895308,-1.175652651,-1.109900144,-0.983670967,1.001925092,4600
57243,-1.17576036,0.09745281,-1.366682607,-1.241799494,-1.175562594,-1.109859351,-0.983908863,1.001928322,4600
57226,-1.175733532,0.097472429,-1.366384286,-1.241719431,-1.175652569,-1.109716335,-0.984224396,1.001927952,4600
57214,-1.175750283,0.097458439,-1.366490129,-1.24193334,-1.175720793,-1.109655926,-0.983794689,1.00192764,4600
57209,-1.175754064,0.097469649,-1.366830509,-1.241836118,-1.175607445,-1.109778333,-0.984191995,1.001924531,4600
57192,-1.175766739,0.097461521,-1.366816698,-1.241776994,-1.175652531,-1.10986468,-0.984241753,1.001927375,4600
57175,-1.175762019,0.097457013,-1.367018788,-1.241890809,-1.175634853,-1.109804837,-0.984415687,1.001930658,4600
57158,-1.175761073,0.097445763,-1.366593808,-1.241946096,-1.17546318,-1.109881021,-0.983866383,1.001930376,4600
57141,-1.175768868,0.097453323,-1.366558572,-1.241933678,-1.175695275,-1.109736755,-0.983665157,1.001922999,4600
57125,-1.175791899,0.097438626,-1.367347951,-1.242017123,-1.175721102,-1.109683959,-0.98436223,1.001928066,4600
57108,-1.175735717,0.097449375,-1.36668403,-1.24184348,-1.175781996,-1.109878348,-0.983923013,1.001924076,4600
57091,-1.175741487,0.097453859,-1.366541446,-1.241922511,-1.175681166,-1.109946341,-0.984188263,1.001923056,4600
57074,-1.175738692,0.097493718,-1.366862935,-1.241938975,-1.17569967,-1.109752004,-0.984103172,1.001925335,4600
57057,-1.175777856,0.097472119,-1.366896038,-1.241952034,-1.175766761,-1.109775408,-0.984140496,1.001925601,4600
56953,-1.1757429,0.097444195,-1.366135732,-1.241923936,-1.175641863,-1.109751417,-0.983669134,1.001926212,4600
56941,-1.175748644,0.097450124,-1.366507613,-1.24194821,-1.175731906,-1.109745865,-0.984376716,1.001926292,4600
56929,-1.175740977,0.097448911,-1.366075249,-1.241931398,-1.175790077,-1.109580569,-0.984286601,1.001926708,4600
56917,-1.175758966,0.0974506,-1.365672095,-1.242011982,-1.175802789,-1.10988532,-0.984597719,1.001919355,4600
56905,-1.175733554,0.097458653,-1.366723114,-1.242041349,-1.175613016,-1.109777314,-0.983959179,1.001932077,4600
56893,-1.175758552,0.097451189,-1.366965,-1.241644576,-1.175520072,-1.109874475,-0.983818077,1.001927183,4600
56880,-1.175736237,0.09745303,-1.366451524,-1.241763029,-1.175608759,-1.109847252,-0.984251863,1.001930163,4600
56868,-1.175750189,0.09746062,-1.366996141,-1.241999795,-1.175578499,-1.109818738,-0.983903413,1.00191722,4600
56856,-1.175735564,0.097456975,-1.366629826,-1.24171016,-1.175461936,-1.109837461,-0.984314596,1.001923702,4600
56821,-1.175754615,0.097473219,-1.366284972,-1.241835729,-1.175564349,-1.10976562,-0.983822853,1.001923578,4600
56786,-1.175738131,0.09746554,-1.36693944,-1.241777545,-1.175829821,-1.109805957,-0.983787457,1.001924974,4600
56752,-1.175764643,0.097441597,-1.366506113,-1.241768595,-1.175827002,-1.109782936,-0.984046183,1.001926283,4600
56718,-1.175759131,0.097436167,-1.366460226,-1.241841799,-1.175768534,-1.109839704,-0.984078369,1.001928782,4600
56686,-1.175721763,0.097457771,-1.367123002,-1.241678378,-1.175679243,-1.10990062,-0.984250982,1.001925415,4600
56621,-1.175736649,0.097452238,-1.366930437,-1.241953558,-1.175637398,-1.109815052,-0.983911748,1.001921443,4600
56601,-1.175752511,0.097475937,-1.366592092,-1.241728739,-1.175801666,-1.109748928,-0.98358809,1.001940201,4500
56588,-1.175748245,0.097437751,-1.366845369,-1.241789238,-1.175745488,-1.109963321,-0.983988939,1.001925458,4600
56555,-1.175739422,0.097467999,-1.366389471,-1.241974079,-1.175685655,-1.109756931,-0.984270132,1.001918876,4600
56360,-1.175753123,0.097444786,-1.36657201,-1.242034858,-1.175770363,-1.109854071,-0.983784829,1.001935231,4500
56262,-1.175743597,0.097460374,-1.366276403,-1.241983888,-1.17546806,-1.109754544,-0.983992378,1.001926401,4600
56197,-1.175757045,0.097446089,-1.366222048,-1.241936911,-1.175775135,-1.109629208,-0.984207351,1.001931792,4600
56138,-1.175755521,0.097457983,-1.366773435,-1.24176414,-1.175603802,-1.110083461,-0.984018995,1.001926143,4600
56120,-1.175754495,0.097447705,-1.366507552,-1.24187596,-1.175596234,-1.109904378,-0.983900448,1.001913293,4600
56119,-1.175749499,0.097447627,-1.366528472,-1.241930501,-1.17561766,-1.109838556,-0.98395061,1.001920561,4600
56109,-1.175746667,0.097464376,-1.366746277,-1.241888409,-1.175584908,-1.109741992,-0.983869248,1.001924711,4600
56099,-1.175752211,0.097420735,-1.366466538,-1.241920114,-1.175600268,-1.109820463,-0.984652021,1.001911544,4600
56098,-1.175744043,0.097424402,-1.366708931,-1.241888799,-1.175631305,-1.109852325,-0.984092584,1.001912117,4600
56086,-1.175766446,0.097451681,-1.366882063,-1.241833282,-1.175758996,-1.109595785,-0.984522431,1.00191552,4600
56079,-1.175752077,0.097439038,-1.366773819,-1.241719307,-1.175652346,-1.109837436,-0.984101162,1.001927305,4600
56075,-1.175750996,0.097450248,-1.366578601,-1.241911634,-1.175700021,-1.109905291,-0.983975125,1.00192305,4600
56064,-1.175747612,0.097451861,-1.366260994,-1.241838227,-1.175544819,-1.109909042,-0.983648145,1.001919312,4600
56060,-1.175762023,0.097461294,-1.366530835,-1.241872049,-1.175585809,-1.10984728,-0.984160513,1.001927927,4600
56052,-1.175728957,0.097456367,-1.366627991,-1.241873085,-1.175693966,-1.109849291,-0.984269385,1.001923434,4600
56041,-1.175722959,0.09744873,-1.366340883,-1.241700068,-1.175716609,-1.109870898,-0.98374335,1.001920857,4600
56040,-1.175731502,0.097446245,-1.36626944,-1.241841141,-1.175718849,-1.109897352,-0.98382294,1.001922693,4600
56032,-1.175749473,0.097452946,-1.366666947,-1.241899219,-1.175723141,-1.109896825,-0.984135711,1.001924467,4600
56020,-1.17572396,0.097449922,-1.366828148,-1.241948538,-1.175615115,-1.109894572,-0.984430269,1.001924563,4600
56018,-1.175724745,0.097463304,-1.36678353,-1.241922526,-1.175594435,-1.109712267,-0.984162182,1.001921189,4600
56007,-1.175750425,0.097452639,-1.366930195,-1.241945206,-1.175655238,-1.109976786,-0.983868112,1.001923835,4600
56000,-1.175766564,0.097449631,-1.36643223,-1.241982192,-1.175650825,-1.110022492,-0.984103994,1.001918105,4600
55993,-1.175754884,0.097450261,-1.366659796,-1.241868903,-1.175649913,-1.109813109,-0.984365622,1.001933175,4500
55985,-1.1757288,0.097471982,-1.366693506,-1.241820251,-1.175585102,-1.109640076,-0.983752766,1.001925096,4600
55983,-1.17571999,0.097462406,-1.366694136,-1.241857465,-1.175585292,-1.10973487,-0.983977694,1.001930269,4600
55981,-1.175748968,0.097452407,-1.366723447,-1.241852648,-1.17576005,-1.10969469,-0.984119689,1.001930231,4600
55975,-1.175747471,0.0974558,-1.366410664,-1.241813004,-1.175694857,-1.10985261,-0.983439395,1.001932168,4600
55971,-1.175739325,0.097445223,-1.366266092,-1.241817267,-1.17576407,-1.109993311,-0.983622575,1.001925981,4600
