age,d11B,d11Bse,d18O,MgCa,species
55891,NA,NA,-1.87,NA,Grub
55891,NA,NA,-1.65,NA,Grub
55891,NA,NA,-1.63,NA,Grub
55891,NA,NA,-1.49,NA,Grub
55891,NA,NA,-1.33,NA,Tsac
55891,NA,NA,-1.31,NA,Tsac
55891,NA,NA,-1.25,NA,Tsac
55888,14.92,0.12,-1.63,5.01,Grub
55888,NA,NA,-1.92,5.02,Grub
55888,NA,NA,-1.8,NA,Grub
55888,NA,NA,-1.72,NA,Grub
55888,NA,NA,-1.7,NA,Tsac
55888,NA,NA,-1.67,5.1,Grub
55888,NA,NA,-1.56,NA,Tsac
55888,NA,NA,-1.51,5.27,Tsac
55888,NA,NA,-1.17,4.52,Tsac
55885,14.9,0.15,-1.84,4.41,Grub
55885,NA,NA,-1.9,NA,Grub
55885,NA,NA,-1.79,NA,Grub
55885,NA,NA,-1.67,NA,Grub
55885,NA,NA,-1.58,NA,Grub
55885,NA,NA,-1.57,NA,Grub
55885,NA,NA,-1.56,NA,Tsac
55885,NA,NA,-1.53,NA,Tsac
55885,NA,NA,-1.34,NA,Tsac
55882,NA,NA,NA,4.86,Grub
55882,NA,NA,NA,5.22,Grub
55872,15.09,0.12,NA,4.79,Grub
55872,NA,NA,NA,4.53,Tsac
55869,NA,NA,NA,4.72,Grub
55865,NA,NA,-1.83,NA,Grub
55865,NA,NA,-1.65,NA,Grub
55865,NA,NA,-1.61,NA,Grub
55865,NA,NA,-1.55,NA,Grub
55865,NA,NA,-1.47,NA,Tsac
55865,NA,NA,-1.34,NA,Tsac
55865,NA,NA,-1.24,4.44,Grub
55865,NA,NA,-1.23,NA,Tsac
55859,NA,NA,NA,4.51,Grub
55859,NA,NA,NA,4.88,Grub
55853,NA,NA,-1.6,NA,Grub
55853,NA,NA,NA,4.06,Tsac
55853,NA,NA,NA,4.77,Tsac
55849,NA,NA,-1.71,NA,Grub
55849,NA,NA,-1.56,NA,Grub
55849,NA,NA,-1.55,NA,Grub
55849,NA,NA,-1.49,NA,Grub
55849,NA,NA,-1.25,NA,Grub
55849,NA,NA,-1.21,NA,Tsac
55849,NA,NA,-1.12,NA,Tsac
55849,NA,NA,-1.03,NA,Tsac
55848,13.85,0.15,NA,NA,Tsac
55846,14.96,0.15,NA,NA,Grub
55843,NA,NA,NA,4.02,Grub
55843,NA,NA,NA,4.13,Grub
55833,NA,NA,-1.86,NA,Grub
55833,NA,NA,-1.74,NA,Grub
55833,NA,NA,-1.71,NA,Grub
55833,NA,NA,-1.67,NA,Grub
55833,NA,NA,-1.49,NA,Grub
55833,NA,NA,-1.38,NA,Tsac
55833,NA,NA,-1.26,NA,Tsac
55833,NA,NA,-1.23,NA,Tsac
55822,NA,NA,-1.5,3.89,Grub
55820,NA,NA,NA,3.95,Grub
55817,NA,NA,NA,3.64,Tsac
55817,NA,NA,NA,4.12,Tsac
55815,15.13,0.12,-1.44,NA,Grub
55815,NA,NA,-1.54,NA,Grub
55815,NA,NA,-1.54,NA,Grub
55815,NA,NA,-1.47,NA,Grub
55815,NA,NA,-1.45,NA,Grub
55815,NA,NA,-1.43,NA,Tsac
55815,NA,NA,-1.27,NA,Tsac
55805,NA,NA,NA,3.46,Grub
55805,NA,NA,NA,3.71,Grub
55803,NA,NA,-1.67,NA,Grub
55803,NA,NA,-1.54,NA,Grub
55803,NA,NA,-1.51,NA,Tsac
55803,NA,NA,-1.46,NA,Grub
55803,NA,NA,-1.39,NA,Tsac
55803,NA,NA,-1.39,NA,Grub
