age,mean,sd,2.50%,25%,50%,75%,97.50%
53613,7.748257326,0.08625181,7.573503649,7.692095091,7.751079611,7.806720663,7.912180754
53605,7.747540599,0.086190046,7.571201249,7.691565914,7.749827608,7.806285332,7.910928127
53590,7.746493898,0.086076501,7.571282832,7.690903516,7.748797831,7.806028757,7.907466961
53572,7.744157705,0.086104564,7.565363839,7.687769373,7.747607206,7.803280922,7.904023812
53555,7.742517187,0.086313991,7.560991514,7.68637829,7.746786756,7.802307859,7.901805436
53551,7.741875744,0.086243719,7.560908262,7.685690894,7.746092762,7.800993961,7.902538357
53546,7.741312881,0.086352011,7.560460805,7.685174884,7.745578687,7.800670901,7.901559594
53542,7.740588296,0.086227377,7.562381591,7.685161447,7.744310609,7.799426507,7.900944488
53538,7.740088416,0.086420201,7.558742701,7.684889523,7.744001476,7.799328224,7.900650922
53534,7.73912647,0.086243862,7.558316299,7.68365686,7.742447518,7.798527734,7.899058183
53525,7.736594749,0.086062439,7.556067268,7.681306128,7.741108751,7.795982184,7.895677696
53513,7.732343484,0.085600353,7.554487521,7.677381542,7.736263519,7.791201641,7.890295017
53504,7.728908433,0.085572284,7.550816102,7.674462583,7.732555666,7.787793865,7.887165622
53494,7.725434589,0.085463155,7.545886338,7.670902855,7.729235305,7.784513807,7.882590944
53483,7.720976737,0.085065617,7.543353221,7.666076549,7.724118535,7.779899116,7.877921631
53473,7.715663508,0.084986733,7.537051092,7.66115652,7.71892225,7.773804458,7.873640072
53464,7.71037015,0.084716662,7.535166873,7.654925028,7.71292479,7.7681319,7.868431673
53453,7.703171517,0.084107313,7.530313155,7.649133895,7.706215182,7.760474173,7.859870437
53443,7.696832273,0.083400919,7.52457097,7.642893927,7.699517328,7.753825208,7.85410733
53434,7.690761094,0.083083503,7.520929791,7.636905278,7.693746371,7.747725823,7.845166188
53422,7.682681895,0.082245767,7.514350867,7.629636212,7.684703121,7.739000165,7.835962975
53413,7.675566775,0.081746516,7.506474202,7.622343623,7.677716517,7.73111235,7.828415092
53404,7.667279688,0.081373288,7.500690095,7.614283499,7.669500383,7.72259668,7.822189316
53385,7.651211285,0.080054769,7.489378776,7.598613206,7.652773833,7.706284639,7.802265473
53343,7.61711757,0.076549219,7.465231952,7.566302391,7.619187004,7.669974913,7.76300248
53304,7.583276421,0.070518423,7.441634233,7.536129829,7.584182374,7.630991369,7.720798833
53262,7.547581658,0.062602348,7.423031292,7.50557991,7.548253221,7.590352714,7.667529352
53229,7.519990112,0.053155472,7.414906648,7.484192294,7.520866144,7.556390035,7.623062233
53200,7.492522286,0.038647757,7.412395207,7.46715842,7.494158909,7.5196429,7.563674554
53162,7.522378375,0.057319446,7.406743748,7.48425673,7.52337691,7.561661329,7.631441384
53123,7.546438256,0.069192872,7.403468409,7.500770194,7.54812049,7.59314405,7.678366115
53084,7.569451175,0.077770513,7.412095742,7.518693371,7.57103328,7.622028422,7.715688461
